congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,Senate,109,2019-05-14,1,109,50,45,0.044,-0.066,-0.679,0.54,-0.177,PN373,Cloture Motion Agreed to,"Kenneth Kiyul Lee, of California, to be United States Circuit Judge for the Ninth Circuit",On the Cloture Motion,
116,Senate,110,2019-05-15,1,110,52,45,0.044,-0.066,-0.679,0.541,-0.177,PN373,Nomination Confirmed,"Kenneth Kiyul Lee, of California, to be United States Circuit Judge for the Ninth Circuit",On the Nomination,
116,Senate,111,2019-05-15,1,111,51,45,0.13,-0.123,-0.692,-0.395,-0.614,PN254,Cloture Motion Agreed to,"Wendy Vitter, of Louisiana, to be United States District Judge for the Eastern District of Louisiana",On the Cloture Motion,
116,Senate,112,2019-05-15,1,112,90,5,-0.456,0.125,-0.683,0.52,-6.767,PN111,Cloture Motion Agreed to,"Brian J. Bulatao, of Texas, to be an Under Secretary of State (Management)",On the Cloture Motion,
116,Senate,113,2019-05-15,1,113,52,44,0.044,-0.066,-0.679,0.541,-0.177,PN526,Cloture Motion Agreed to,"Jeffrey A. Rosen, of Virginia, to be Deputy Attorney General",On the Cloture Motion,
116,Senate,114,2019-05-16,1,114,52,45,0.13,-0.124,-0.692,-0.395,-0.614,PN254,Nomination Confirmed,"Wendy Vitter, of Louisiana, to be United States District Judge for the Eastern District of Louisiana",On the Nomination,
116,Senate,115,2019-05-16,1,115,92,5,-0.499,-0.25,-0.714,0.017,-5.616,PN111,Nomination Confirmed,"Brian J. Bulatao, of Texas, to be an Under Secretary of State (Management)",On the Nomination,
116,Senate,116,2019-05-16,1,116,52,45,0.044,-0.067,-0.679,0.542,-0.177,PN526,Nomination Confirmed,"Jeffrey A. Rosen, of Virginia, to be Deputy Attorney General",On the Nomination,
116,Senate,117,2019-05-20,1,117,51,43,0.044,-0.067,-0.679,0.543,-0.177,PN372,Cloture Motion Agreed to,"Daniel P. Collins, of California, to be United States Circuit Judge for the Ninth Circuit",On the Cloture Motion,
116,Senate,118,2019-05-21,1,118,53,46,0.044,-0.064,-0.678,0.547,-0.176,PN372,Nomination Confirmed,"Daniel P. Collins, of California, to be United States Circuit Judge for the Ninth Circuit",On the Nomination,
116,Senate,119,2019-05-21,1,119,52,47,0.131,-0.124,-0.692,-0.393,-0.613,PN244,Cloture Motion Agreed to,"Howard C. Nielson, Jr., of Utah, to be United States District Judge for the District of Utah",On the Cloture Motion,
116,Senate,120,2019-05-21,1,120,53,45,-0.027,-0.011,-0.688,-0.426,-1.358,PN226,Cloture Motion Agreed to,"Stephen R. Clark, Sr., of Missouri, to be United States District Judge for the Eastern District of Missouri",On the Cloture Motion,
116,Senate,121,2019-05-21,1,121,55,42,-0.111,0.026,-0.663,-0.618,-1.828,PN243,Cloture Motion Agreed to,"Carl J. Nichols, of the District of Columbia, to be United States District Judge for the District of Columbia",On the Cloture Motion,
116,Senate,122,2019-05-21,1,122,56,42,-0.111,0.026,-0.663,-0.618,-1.828,PN218,Cloture Motion Agreed to,"Kenneth D. Bell, of North Carolina, to be United States District Judge for the Western District of North Carolina",On the Cloture Motion,
116,Senate,123,2019-05-22,1,123,51,47,0.131,-0.124,-0.692,-0.393,-0.613,PN244,Nomination Confirmed,"Howard C. Nielson, Jr., of Utah, to be United States District Judge for the District of Utah",On the Nomination,
116,Senate,124,2019-05-22,1,124,53,45,-0.026,-0.013,-0.689,-0.424,-1.361,PN226,Nomination Confirmed,"Stephen R. Clark, Sr., of Missouri, to be United States District Judge for the Eastern District of Missouri",On the Nomination,
